format,task_order,score,task
hjson,1,0.7333333333333333,config
hjson,2,0.8,config
hjson,3,0.9333333333333333,config
hjson,4,0.6666666666666666,config
hjson,5,0.8666666666666667,config
hjson,6,0.3023154515949643,config
hjson,7,0.7777777777777778,config
hjson,8,0.673015873015873,config
hjson,9,0.4722222222222222,config
hjson,10,0.6133333333333333,config
json,1,0.9333333333333333,config
json,2,0.8666666666666667,config
json,3,0.7333333333333333,config
json,4,0.6,config
json,5,0.8666666666666667,config
json,6,0.37339540089540085,config
json,7,0.6333333333333333,config
json,8,0.4822222222222222,config
json,9,0.5444444444444444,config
json,10,0.35,config
json5,1,0.8666666666666667,config
json5,2,0.6666666666666666,config
json5,3,0.9333333333333333,config
json5,4,0.4666666666666667,config
json5,5,0.8,config
json5,6,0.32410174353722737,config
json5,7,0.7666666666666667,config
json5,8,0.5266666666666667,config
json5,9,0.6166666666666667,config
json5,10,0.48666666666666664,config
jsonc,1,0.9230769230769231,config
jsonc,2,0.9230769230769231,config
jsonc,3,0.9230769230769231,config
jsonc,4,0.8461538461538461,config
jsonc,5,0.6923076923076923,config
jsonc,6,0.363622438942132,config
jsonc,7,0.8846153846153846,config
jsonc,8,0.5128205128205129,config
jsonc,9,0.6666666666666666,config
jsonc,10,0.5153846153846154,config
toml,1,0.9333333333333333,config
toml,2,0.9333333333333333,config
toml,3,0.9333333333333333,config
toml,4,0.4666666666666667,config
toml,5,1.0,config
toml,6,0.2824728487886382,config
toml,7,0.7333333333333333,config
toml,8,0.6841269841269841,config
toml,9,0.7822222222222223,config
toml,10,0.45814814814814814,config
xml,1,0.9333333333333333,config
xml,2,0.7333333333333333,config
xml,3,0.8666666666666667,config
xml,4,0.6,config
xml,5,0.8,config
xml,6,0.2809793918260738,config
xml,7,0.7333333333333333,config
xml,8,0.5888888888888889,config
xml,9,0.6503703703703704,config
xml,10,0.43333333333333335,config
yaml,1,0.8823529411764706,config
yaml,2,0.8235294117647058,config
yaml,3,1.0,config
yaml,4,0.6470588235294118,config
yaml,5,0.9411764705882353,config
yaml,6,0.3839587795902675,config
yaml,7,0.7941176470588235,config
yaml,8,0.7507002801120448,config
yaml,9,0.7102941176470587,config
yaml,10,0.5,config
